"""","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_輸　　出　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_前年(同月･期)比","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_輸　　入　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_前年(同月･期)比","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_全　　　国_輸　　出　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_全　　　国_輸　　入　　額"
"平成26年3月","649.12","18.89297946773631","790.88","11.91803696261286","63832.75508","78334.11545"
"平成26年4月","584.68","14.344943578510922","598.31","-19.601440511704155","60671.82159","68927.09161"
"平成26年5月","499.68","-9.949719764277603","435.37","-36.77186052253221","56060.08757","65232.32141"
"平成26年6月","583.28","11.653905053598777","689.73","122.2497905522975","59400.15772","67740.72891"
"平成26年7月","554.8","-7.116907468483703","649.56","5.6934116536765345","61919.17647","71584.57838"
"平成26年8月","433.23","-18.17821258593338","428.59","-22.415915426668107","57048.17472","66580.3203"
"平成26年9月","483.15","5.745239658568607","414.69","-2.165758369311348","63820.87103","73440.68242"
"平成26年10月","393.92","-19.619646172995687","175.72","-69.93361166244611","66873.13504","74290.72288"
"平成26年11月","371.01","-34.86596092062992","307.11","-33.0885877380278","61875.18807","70863.39814"
"平成26年12月","458.02","-6.42531717980674","614.25","59.977601833524346","68918.04493","75573.85451"
